time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-05-02 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-05-02 09:30:00-04:00,buy,fill,3.0,NQ=F,stock,,0.0,,17487.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-05-06 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-05-06 09:30:00-04:00,sell,fill,3.0,NQ=F,stock,,0.0,,18047.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-05-17 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-05-17 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,18642.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-05-22 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-05-22 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,18798.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-06-21 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-06-21 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,19781.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-06-26 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-06-26 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,19973.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-07-01 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-01 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,19970.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-07-02 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,20045.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-07-12 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-12 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,20432.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-07-23 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-23 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,19982.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-07-25 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-25 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,19260.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-08-09 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-09 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,18550.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-08-23 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-23 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,19621.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-09-03 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-09-03 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,19599.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-09-04 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-09-04 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,18993.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-09-10 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-09-10 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,18727.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-09-19 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-09-19 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,19420.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-10-01 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-10-01 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,20234.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-10-08 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-10-08 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,20025.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-10-09 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-10-09 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,20294.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-10-29 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-10-29 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,20513.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-11-06 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-11-06 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,20360.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-11-18 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-11-18 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,20504.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-11-20 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-11-20 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,20762.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-12-10 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-12-10 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,21479.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-12-12 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-12-12 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,21756.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-12-19 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-12-19 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,21218.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-12-24 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-12-24 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,21743.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-02 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-02 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,21269.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-06 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-06 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,21532.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-08 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-08 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,21380.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-16 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-16 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,21389.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-02-03 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-02-03 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,21200.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-02-05 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-02-05 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,21562.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-02-10 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-02-10 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,21463.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-02-11 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-02-11 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,21832.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-02-24 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-02-24 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,21700.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-03-03 09:30:00-05:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-03-03 09:30:00-05:00,sell,fill,2.0,NQ=F,stock,,0.0,,21005.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-03-07 09:30:00-05:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-03-07 09:30:00-05:00,buy,fill,2.0,NQ=F,stock,,0.0,,20214.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-03-10 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-03-10 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,20147.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-03-14 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-03-14 09:30:00-04:00,buy,fill,2.0,NQ=F,stock,,0.0,,19312.75,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-03-17 09:30:00-04:00,sell,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-03-17 09:30:00-04:00,sell,fill,2.0,NQ=F,stock,,0.0,,19668.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-03-24 09:30:00-04:00,buy,new,,NQ=F,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
